lat,lon,yaw,year,month
40.0319501086,-75.1211430721,9.656,2014,05
40.0698970649,-75.181978575,216.004,2014,07
39.9280007403,-75.1459937439,9.605,2014,05
40.037405087,-75.030779734,65.701,2014,05
39.9911765574,-75.1290170641,100.746,2014,05
39.9309502001,-75.1442259866,188.531,2014,06
39.9340385217,-75.1757912534,189.084,2014,05
40.076474096,-74.988273723,140.169,2014,07
39.9951391894,-75.1530044368,10.391,2014,05
39.9161015209,-75.150616058,190.386,2014,05
40.048148915,-75.0511450101,10.13,2014,06
39.93561206,-75.222817789,227.158,2014,05
40.038938085,-75.089619753,125.071,2014,05
40.0393418188,-75.0596098445,39.449,2014,06
40.000875796,-75.1105704231,99.79,2014,05
40.0342046437,-75.1667515845,127.067,2014,05
40.0204208355,-75.1410943745,56.161,2014,06
39.9559691927,-75.1616627121,100.076,2014,06
39.9705623631,-75.19341258,162.564,2014,05
40.02945208,-75.168821777,305.859,2014,05
39.9305583617,-75.1985775727,324.505,2014,06
39.9417261762,-75.1535167578,100.123,2014,05
40.0525578721,-75.2372330077,253.854,2014,05
39.944280064,-75.157507769,115.831,2014,05
40.0951099192,-75.0531890068,127.648,2014,07
39.9179082935,-75.1476367476,352.979,2014,06
39.9579869226,-75.2086490799,273.024,2014,05
40.0108341645,-75.2022967049,109.261,2014,05
39.9059293721,-75.2405713454,345.86,2014,05
40.0836256514,-75.1774609532,216.1,2014,07
40.0328201314,-75.0621026435,124.757,2014,05
39.9534179046,-75.2063768418,97.147,2014,05
40.0900963587,-74.9647179029,180.107,2014,07
39.9365059929,-75.195598581,277.621,2014,05
40.109475101,-75.024378736,208.113,2014,07
39.9972835388,-75.1268022427,279.42,2014,05
40.0936897164,-74.9675040097,137.687,2014,07
39.9582287411,-75.2231430547,97.868,2014,06
40.0644491902,-75.1810296225,127.34,2014,07
40.0542234207,-75.1773182534,217.612,2014,05
39.952287483,-75.141185743,359.581,2014,05
39.9605353115,-75.2417660718,97.982,2014,05
40.0152374394,-75.0611764269,233.372,2014,05
40.0279917921,-75.1158153502,259.062,2014,06
39.9850715038,-75.1723507487,194.413,2014,06
40.019431096,-75.1634647535,46.086,2014,06
40.0689842133,-75.1528883684,98.565,2014,07
40.0467596916,-75.1759402704,307.69,2014,05
40.0386210146,-75.0516729738,34.927,2014,05
40.0450222954,-75.075451642,127.646,2014,05
39.9695335336,-75.1923845517,147.456,2014,06
39.9163206629,-75.2252832501,41.351,2014,05
40.0603443924,-74.9905297476,232.78,2014,06
40.0412627594,-75.1301356283,111.561,2014,05
39.9937401167,-75.1696276927,8.493,2014,06
39.9663709073,-75.2380992238,98.712,2014,06
39.9782996658,-75.1307471687,36.506,2014,06
39.9731816238,-75.2186662726,307.573,2014,06
39.9335029402,-75.1811375889,15.945,2014,05
39.967945066,-75.238192796,278.368,2014,06
40.0119524668,-75.1820529973,228.384,2014,06
